tile_id,date,year,source,valid_frac,exp_temporal_split
20210202_lidar_tile_0_128.npy,20210202,2021,lidar,0.3137,train
20210202_lidar_tile_0_256.npy,20210202,2021,lidar,0.7137,train
20210202_lidar_tile_0_384.npy,20210202,2021,lidar,0.8488,train
20210202_lidar_tile_0_512.npy,20210202,2021,lidar,0.7883,train
20210202_lidar_tile_0_640.npy,20210202,2021,lidar,0.7121,train
20210202_lidar_tile_0_768.npy,20210202,2021,lidar,0.6381,train
20210202_lidar_tile_0_896.npy,20210202,2021,lidar,0.5988,train
20210202_lidar_tile_1024_1024.npy,20210202,2021,lidar,0.9173,train
20210202_lidar_tile_1024_1152.npy,20210202,2021,lidar,0.8918,train
20210202_lidar_tile_1024_128.npy,20210202,2021,lidar,0.5333,train
20210202_lidar_tile_1024_1280.npy,20210202,2021,lidar,0.8386,train
20210202_lidar_tile_1024_1408.npy,20210202,2021,lidar,0.8017,train
20210202_lidar_tile_1024_1536.npy,20210202,2021,lidar,0.8116,train
20210202_lidar_tile_1024_1664.npy,20210202,2021,lidar,0.4471,train
20210202_lidar_tile_1024_256.npy,20210202,2021,lidar,0.7749,train
20210202_lidar_tile_1024_384.npy,20210202,2021,lidar,0.988,train
20210202_lidar_tile_1024_512.npy,20210202,2021,lidar,0.9967,train
20210202_lidar_tile_1024_640.npy,20210202,2021,lidar,0.9973,train
20210202_lidar_tile_1024_768.npy,20210202,2021,lidar,0.9991,train
20210202_lidar_tile_1024_896.npy,20210202,2021,lidar,0.9841,train
20210202_lidar_tile_1152_1024.npy,20210202,2021,lidar,0.7062,train
20210202_lidar_tile_1152_1152.npy,20210202,2021,lidar,0.6436,train
20210202_lidar_tile_1152_1280.npy,20210202,2021,lidar,0.4666,train
20210202_lidar_tile_1152_1408.npy,20210202,2021,lidar,0.3046,train
20210202_lidar_tile_1152_1536.npy,20210202,2021,lidar,0.3145,train
20210202_lidar_tile_1152_512.npy,20210202,2021,lidar,0.7713,train
20210202_lidar_tile_1152_640.npy,20210202,2021,lidar,0.7822,train
20210202_lidar_tile_1152_768.npy,20210202,2021,lidar,0.7524,train
20210202_lidar_tile_1152_896.npy,20210202,2021,lidar,0.7693,train
20210202_lidar_tile_128_1024.npy,20210202,2021,lidar,0.9117,train
20210202_lidar_tile_128_128.npy,20210202,2021,lidar,0.6642,train
20210202_lidar_tile_128_256.npy,20210202,2021,lidar,0.9317,train
20210202_lidar_tile_128_384.npy,20210202,2021,lidar,0.9981,train
20210202_lidar_tile_128_512.npy,20210202,2021,lidar,0.999,train
20210202_lidar_tile_128_640.npy,20210202,2021,lidar,0.9994,train
20210202_lidar_tile_128_768.npy,20210202,2021,lidar,0.999,train
20210202_lidar_tile_128_896.npy,20210202,2021,lidar,0.9948,train
20210202_lidar_tile_256_0.npy,20210202,2021,lidar,0.437,train
20210202_lidar_tile_256_1024.npy,20210202,2021,lidar,0.9296,train
20210202_lidar_tile_256_1152.npy,20210202,2021,lidar,0.6814,train
20210202_lidar_tile_256_128.npy,20210202,2021,lidar,0.9317,train
20210202_lidar_tile_256_1280.npy,20210202,2021,lidar,0.5809,train
20210202_lidar_tile_256_1408.npy,20210202,2021,lidar,0.6736,train
20210202_lidar_tile_256_256.npy,20210202,2021,lidar,0.9963,train
20210202_lidar_tile_256_384.npy,20210202,2021,lidar,0.9992,train
20210202_lidar_tile_256_512.npy,20210202,2021,lidar,0.9988,train
20210202_lidar_tile_256_640.npy,20210202,2021,lidar,0.999,train
20210202_lidar_tile_256_768.npy,20210202,2021,lidar,0.9998,train
20210202_lidar_tile_256_896.npy,20210202,2021,lidar,0.9972,train
20210202_lidar_tile_384_0.npy,20210202,2021,lidar,0.4998,train
20210202_lidar_tile_384_1024.npy,20210202,2021,lidar,0.9592,train
20210202_lidar_tile_384_1152.npy,20210202,2021,lidar,0.9165,train
20210202_lidar_tile_384_128.npy,20210202,2021,lidar,0.9855,train
20210202_lidar_tile_384_1280.npy,20210202,2021,lidar,0.9286,train
20210202_lidar_tile_384_1408.npy,20210202,2021,lidar,0.9611,train
20210202_lidar_tile_384_1536.npy,20210202,2021,lidar,0.9405,train
20210202_lidar_tile_384_1664.npy,20210202,2021,lidar,0.7025,train
20210202_lidar_tile_384_256.npy,20210202,2021,lidar,0.9988,train
20210202_lidar_tile_384_384.npy,20210202,2021,lidar,0.9994,train
20210202_lidar_tile_384_512.npy,20210202,2021,lidar,0.9984,train
20210202_lidar_tile_384_640.npy,20210202,2021,lidar,0.9988,train
20210202_lidar_tile_384_768.npy,20210202,2021,lidar,0.9998,train
20210202_lidar_tile_384_896.npy,20210202,2021,lidar,0.998,train
20210202_lidar_tile_512_0.npy,20210202,2021,lidar,0.5954,train
20210202_lidar_tile_512_1024.npy,20210202,2021,lidar,0.9534,train
20210202_lidar_tile_512_1152.npy,20210202,2021,lidar,0.9572,train
20210202_lidar_tile_512_128.npy,20210202,2021,lidar,0.9899,train
20210202_lidar_tile_512_1280.npy,20210202,2021,lidar,0.9734,train
20210202_lidar_tile_512_1408.npy,20210202,2021,lidar,0.9841,train
20210202_lidar_tile_512_1536.npy,20210202,2021,lidar,0.9884,train
20210202_lidar_tile_512_1664.npy,20210202,2021,lidar,0.8779,train
20210202_lidar_tile_512_256.npy,20210202,2021,lidar,0.9984,train
20210202_lidar_tile_512_384.npy,20210202,2021,lidar,0.9992,train
20210202_lidar_tile_512_512.npy,20210202,2021,lidar,0.9988,train
20210202_lidar_tile_512_640.npy,20210202,2021,lidar,0.9995,train
20210202_lidar_tile_512_768.npy,20210202,2021,lidar,0.9999,train
20210202_lidar_tile_512_896.npy,20210202,2021,lidar,0.9781,train
20210202_lidar_tile_640_0.npy,20210202,2021,lidar,0.6819,train
20210202_lidar_tile_640_1024.npy,20210202,2021,lidar,0.9447,train
20210202_lidar_tile_640_1152.npy,20210202,2021,lidar,0.961,train
20210202_lidar_tile_640_128.npy,20210202,2021,lidar,0.9939,train
20210202_lidar_tile_640_1280.npy,20210202,2021,lidar,0.9799,train
20210202_lidar_tile_640_1408.npy,20210202,2021,lidar,0.9877,train
20210202_lidar_tile_640_1536.npy,20210202,2021,lidar,0.992,train
20210202_lidar_tile_640_1664.npy,20210202,2021,lidar,0.9413,train
20210202_lidar_tile_640_256.npy,20210202,2021,lidar,0.9968,train
20210202_lidar_tile_640_384.npy,20210202,2021,lidar,0.9992,train
20210202_lidar_tile_640_512.npy,20210202,2021,lidar,0.9984,train
20210202_lidar_tile_640_640.npy,20210202,2021,lidar,0.9991,train
20210202_lidar_tile_640_768.npy,20210202,2021,lidar,1.0,train
20210202_lidar_tile_640_896.npy,20210202,2021,lidar,0.9709,train
